chr7	0	100761	308	26383	100761	0.2618374	1.38475289189393
chr7	100761	154486	197	15528	53725	0.2890275	0.891115659651173
chr7	154486	207016	215	17564	52530	0.3343613	1.05118626006765
chr7	207016	315187	198	16563	108171	0.1531187	0.985691608746245
chr7	315187	368675	225	19426	53488	0.3631843	1.03367543667398
chr7	368675	422347	175	14956	53672	0.2786555	0.853036685902476
chr7	422347	478317	179	15199	55970	0.2715562	0.840834048345564
chr7	478317	532767	188	15522	54450	0.2850689	0.906762936241568
chr7	532767	584180	184	15833	51413	0.3079571	0.920184426806089
chr7	584180	637620	189	16466	53440	0.3081213	0.91454851099503
chr7	637620	695707	215	17721	58087	0.3050769	0.994302955499697
chr7	695707	754637	218	17350	58930	0.2944171	0.997090558451804
chr7	754637	812251	225	19064	57614	0.3308918	1.0301872411573
chr7	812251	872392	229	19186	60141	0.319017	1.04193505480418
chr7	872392	928231	226	18489	55839	0.3311127	1.03909806206405
chr7	928231	986118	195	16794	57887	0.290117	0.988124309673141
chr7	986118	1042556	222	17686	56438	0.3133704	1.09957577208229
chr7	1042556	1099100	239	18425	56544	0.3258524	1.20259590228193
chr7	1099100	1153567	192	16077	54467	0.2951696	0.932663417006119
chr7	1153567	1216384	217	17625	62817	0.2805769	0.996515741059042
chr7	1216384	1276452	224	18137	60068	0.3019411	1.0329436406735
chr7	1276452	1331832	185	15954	55380	0.2880823	0.907883441746832
chr7	1331832	1387653	212	17409	55821	0.3118719	1.01365302341748
chr7	1387653	1442131	119	10272	54478	0.1885532	0.558833760314747
chr7	1442131	1495309	181	15006	53178	0.2821844	0.91371503326314
chr7	1495309	1547224	218	16778	51915	0.3231821	1.1559185477049
chr7	1547224	1603119	219	18781	55895	0.336005	1.09148057002323
chr7	1603119	1658600	216	17990	55481	0.3242551	1.00390720112654
chr7	1658600	1713641	230	19673	55041	0.3574245	1.09693971731629
chr7	1713641	1766107	193	16178	52466	0.3083521	0.885942341311897
