chr7	0	100761	348	27612	100761	0.2740346	1.55876947514136
chr7	100761	154486	223	18519	53725	0.3446999	1.00375226105548
chr7	154486	207016	211	16984	52530	0.32332	1.03408906099079
chr7	207016	315187	193	16718	108171	0.1545516	0.966413805191732
chr7	315187	368675	249	19901	53488	0.3720648	1.13795569173021
chr7	368675	422347	208	16710	53672	0.3113355	1.01576958237558
chr7	422347	478317	210	17969	55970	0.321047	0.982989687184559
chr7	478317	532767	197	17219	54450	0.3162351	0.950247037240695
chr7	532767	584180	250	18769	51413	0.3650633	1.25873218918962
chr7	584180	637620	179	15338	53440	0.2870135	0.866682830528971
chr7	637620	695707	249	19780	58087	0.3405237	1.14591112017745
chr7	695707	754637	189	16686	58930	0.2831495	0.859838840288927
chr7	754637	812251	189	16003	57614	0.2777624	0.860754677716243
chr7	812251	872392	243	20055	60141	0.3334664	1.09977785624324
chr7	872392	928231	227	18355	55839	0.3287129	1.03827295718683
chr7	928231	986118	176	15008	57887	0.2592637	0.900448397231469
chr7	986118	1042556	188	16066	56438	0.2846664	0.935666359631943
chr7	1042556	1099100	206	17366	56544	0.3071237	1.04493390077328
chr7	1099100	1153567	188	16209	54467	0.297593	0.914374694246218
chr7	1153567	1216384	222	18591	62817	0.2959549	1.01413428983695
chr7	1216384	1276452	258	21026	60068	0.3500366	1.18371155995373
chr7	1276452	1331832	217	17815	55380	0.3216865	1.06818380239359
chr7	1331832	1387653	220	17804	55821	0.3189481	1.05059391289496
chr7	1387653	1442131	124	11694	54478	0.2146555	0.580251779574532
chr7	1442131	1495309	150	13126	53178	0.2468314	0.763887142747144
chr7	1495309	1547224	217	17787	51915	0.3426178	1.1748345503839
chr7	1547224	1603119	224	18922	55895	0.3385276	1.12318311062696
chr7	1603119	1658600	190	16381	55481	0.2952542	0.879067884524696
chr7	1658600	1713641	180	16003	55041	0.2907469	0.857095837216615
chr7	1713641	1766107	216	16645	52466	0.3172531	0.986311494989903
chr7	1766107	1822067	234	18966	55960	0.3389207	1.07784335486642
chr7	1822067	1890318	237	20061	68251	0.2939298	1.07087948804254
chr7	1890318	1946217	215	17423	55899	0.3116871	1.05996348438097
chr7	1946217	1998011	203	16957	51794	0.3273931	1.00449683452261
chr7	1998011	2051442	202	16402	53431	0.3069754	0.950362657027032
chr7	2051442	2105464	225	18958	54022	0.3509311	1.0403037001206
chr7	2105464	2157226	236	19118	51762	0.3693443	1.13903403372902
chr7	2157226	2210584	212	17003	53358	0.3186589	0.997328959018585
chr7	2210584	2264234	189	15782	53650	0.2941659	0.853786278370005
chr7	2264234	2323133	245	19471	58899	0.3305829	1.15256890479864
chr7	2323133	2392592	283	23129	69459	0.3329878	1.26913284568628
chr7	2392592	2451575	240	19840	58983	0.3363681	1.09489399020939
chr7	2451575	2513466	236	19556	61891	0.3159749	1.06660690482583
chr7	2513466	2566124	171	14640	52658	0.2780204	0.88949005440066
chr7	2566124	2626896	207	17436	60772	0.2869084	0.954627445084733
chr7	2626896	2681525	212	17509	54629	0.3205074	1.02088939332568
chr7	2681525	2741718	215	19061	60193	0.3166647	1.04899503686835
chr7	2741718	2800458	246	20158	58740	0.3431733	1.10598879812927
chr7	2800458	2854075	191	16006	53617	0.2985247	0.859788752330364
chr7	2854075	2910242	246	20482	56167	0.3646625	1.10081473069822
chr7	2910242	2966515	235	19164	56273	0.3405541	1.08233085826708
chr7	2966515	3021371	203	16237	54856	0.2959931	0.911130162286348
chr7	3021371	3078064	212	17490	56693	0.3085037	0.949057348252089
chr7	3078064	3132461	218	17577	54397	0.3231244	0.975519055005637
chr7	3132461	3193350	265	22077	60889	0.3625778	1.1920482332839
chr7	3193350	3248604	244	19497	55254	0.3528613	1.09202836425827
chr7	3248604	3305567	201	16644	56963	0.2921897	0.915353574743562
chr7	3305567	3360304	254	19564	54737	0.3574182	1.15317286999647
chr7	3360304	3412298	222	17975	51994	0.345713	1.03675963014776
chr7	3412298	3464037	227	18432	51739	0.3562496	1.06035168214308
chr7	3464037	3515150	222	17910	51113	0.3504001	1.03787792612178
chr7	3515150	3566705	198	15559	51555	0.3017942	0.927278846421124
chr7	3566705	3618366	203	18258	51661	0.3534194	0.945243508174028
chr7	3618366	3674532	241	19425	56166	0.3458498	1.12072440917695
chr7	3674532	3728071	207	17066	53539	0.3187583	0.958253996817039
chr7	3728071	3780463	201	16837	52392	0.3213659	0.936794137356854
chr7	3780463	3833011	202	16638	52548	0.3166248	0.939111644631506
